_file,copyright,date,location,pano_id,status,city,latitude,longitude,q-score,safety,Coordinates,OBJECTID,SUBDISTRIC,index_outof_20000,img_index
gsv_0.jpg,© Google,2018-09-01,"{'lat': 42.39231519637968, 'lng': -70.99508225418514}",wuglr2YyMwYbhygr3NnnlA,OK,Boston,42.392273,-70.99494200000002,14.495926,0,POINT (-70.99494200000002 42.392273),55507,Open Space,12669,0
gsv_1.jpg,© Google,2018-09-01,"{'lat': 42.35201675617876, 'lng': -71.052507438164}",hvVHe462HUfb393G6Bog2Q,OK,Boston,42.351974,-71.052361,19.801462,0,POINT (-71.052361 42.351974),54845,Industrial,14403,1
gsv_2.jpg,© Google,2011-08-01,"{'lat': 42.25479230565306, 'lng': -71.13908174520033}",Ogs4R-jKrf4QhdL7UtD5VA,OK,Boston,42.254936,-71.138962,22.083672,0,POINT (-71.13896200000001 42.254936),54368,Residential,6554,2
gsv_3.jpg,© Google,2017-08-01,"{'lat': 42.37285282016626, 'lng': -71.02960299192605}",K-oe8tocHQ9ycQmRZueLYQ,OK,Boston,42.372772,-71.029839,23.882545,0,POINT (-71.029839 42.372772),55508,Open Space,11783,3
gsv_4.jpg,© Google,2018-10-01,"{'lat': 42.3596838, 'lng': -71.147121}",N8Kp63EDSLQXiesFHJdOwQ,OK,Boston,42.359776,-71.147301,19.756496,0,POINT (-71.147301 42.359776),55353,Business,19418,4
gsv_5.jpg,© Google,2018-09-01,"{'lat': 42.2942834852888, 'lng': -71.09339259325927}",ApKRwU-S0CZHu1sXqqoJvw,OK,Boston,42.294281,-71.09335300000002,30.919281,1,POINT (-71.09335300000002 42.294281),54646,Miscellaneous,16369,5
gsv_6.jpg,© Google,2018-08-01,"{'lat': 42.29376260310414, 'lng': -71.06502843681827}",IRNOl62TrKTAGMR3wRIjNw,OK,Boston,42.2938,-71.064552,20.567522,0,POINT (-71.06455200000001 42.2938),55663,Residential,5242,6
gsv_7.jpg,© Google,2018-10-01,"{'lat': 42.3538999, 'lng': -71.1399287}",U1AVJ-4D6cXszUdTvKM21A,OK,Boston,42.3536,-71.139984,19.370771,0,POINT (-71.139984 42.3536),55397,Business,19553,7
gsv_8.jpg,© Google,2018-10-01,"{'lat': 42.35138846215192, 'lng': -71.11879298495062}",ghxZT5zoxdBvbCSbOK_2gg,OK,Boston,42.351322,-71.118782,27.949013,1,POINT (-71.118782 42.351322),55310,Business,18607,8
gsv_9.jpg,© Google,2018-08-01,"{'lat': 42.38184438426056, 'lng': -71.05632837680902}",dQia28qES38nvPUwkbb_8w,OK,Boston,42.382198,-71.056297,15.000667000000002,0,POINT (-71.056297 42.382198),54857,Industrial,15240,9
gsv_10.jpg,© Google,2018-05-01,"{'lat': 42.28176311330552, 'lng': -71.05568613900522}",Y1RsdG2WAM6poJkDxQ4jiQ,OK,Boston,42.281773,-71.05574,24.092308,0,POINT (-71.05574 42.281773),55703,Residential,9571,10
gsv_11.jpg,© E Ooono,2014-09-01,"{'lat': 42.32585599999999, 'lng': -71.114867}",CAoSLEFGMVFpcE12NW1NTlVnX2JOUkRvT0VoaUJDZkZsOHNkaDlWQnp0R25MaHJQ,OK,Boston,42.325649,-71.11484499999997,23.860952,0,POINT (-71.11484499999997 42.325649),55766,Open Space,13355,11
gsv_12.jpg,© Google,2018-08-01,"{'lat': 42.2963780751019, 'lng': -71.07764188199053}",iB_j7XlXGpLtmjiNAoxJsA,OK,Boston,42.296398,-71.07769,32.308125,1,POINT (-71.07769 42.296398),55564,Residential,4774,12
gsv_13.jpg,© Google,2018-10-01,"{'lat': 42.3755943277496, 'lng': -71.06081198900482}",01eIJN6peJVkJdWjU73C9A,OK,Boston,42.375698,-71.060806,26.086849,1,POINT (-71.060806 42.375698),54210,Open Space,11525,13
gsv_14.jpg,© Google,2018-07-01,"{'lat': 42.3227115, 'lng': -71.1143484}",pD5GRnaQttQWiYd7GT-zCg,OK,Boston,42.322723,-71.114281,23.031504,0,POINT (-71.11428100000001 42.322723),55757,Residential,5783,14
gsv_15.jpg,© Google,2018-06-01,"{'lat': 42.34484838763517, 'lng': -71.05724410593541}",Ys8ma4gZpbFhfUwg4Aa4cA,OK,Boston,42.344826,-71.057236,21.356483,0,POINT (-71.057236 42.344826),55422,Industrial,15852,15
gsv_16.jpg,© Google,2018-08-01,"{'lat': 42.34823130148281, 'lng': -71.04064821232997}",wDrilHlN_3Y81_kNRd5Hog,OK,Boston,42.3484,-71.04053499999998,30.101507,1,POINT (-71.04053499999998 42.3484),55140,Mixed Use,16656,16
gsv_17.jpg,© Google,2018-08-01,"{'lat': 42.32923554852157, 'lng': -71.07498834885303}",t5AiWWQjM_ea75ORisQx_w,OK,Boston,42.329224,-71.074875,19.222519,0,POINT (-71.07487500000001 42.329224),54519,Industrial,15633,17
gsv_18.jpg,© Google,2018-05-01,"{'lat': 42.3486237, 'lng': -71.1497748}",94FaHHiNcpBzawOc2PXFFQ,OK,Boston,42.348724,-71.149559,27.752234,1,POINT (-71.149559 42.348724),55257,Miscellaneous,16510,18
gsv_19.jpg,© Google,2018-08-01,"{'lat': 42.37413936513738, 'lng': -71.03138912956993}",iG6v0_sXaapgWQy4Q0t3zg,OK,Boston,42.374073,-71.03134200000002,17.827353,0,POINT (-71.03134200000002 42.374073),55437,Miscellaneous,17837,19
gsv_20.jpg,© Google,2013-08-01,"{'lat': 42.27062337074008, 'lng': -71.1296519910478}",A0qUmIGvnEZ73TuS4kEJ3Q,OK,Boston,42.270538,-71.129951,24.747149,0,POINT (-71.12995100000001 42.270538),54313,Residential,6643,20
